Player,Nation,Pos,Squad,Age,Born,90s, Touches Att 3rd,Touches Att Pen box,Dribbles Attempted,Dribbles Succ%,Carries into the 1/3,SCA90,GCA90,Goals,Expected goals (xG),Non penalty Expected Goals (npxG),Progressive Distance,Assist,xA,Key passes
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,8,1,2,50,1,0,0,0,0,0,106,0,0,0
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,100,8,6,50,9,0.15,0,1,0.7,0.7,4254,0,0.5,2
Amir Abrashi,al ALB,MF,Freiburg,30,1990,0.7,7,0,0,,0,0,0,0,0,0,27,0,0,0
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,24,11,0,,2,0,0,1,0.3,0.3,29,0,0,0
Tyler Adams,us USA,"DF,MF",RB Leipzig,21,1999,20.6,372,20,21,85.7,34,1.31,0.15,1,0.9,0.9,5363,1,0.9,13
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,160,42,11,27.3,17,4.13,1.13,2,2.2,2.2,473,3,1.8,12
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,92,8,12,33.3,5,0.77,0.13,1,0.6,0.6,1143,0,0.4,3
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,33,4,13,69.2,4,0.71,0,0,0.3,0.3,330,0,0,1
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,102,32,15,86.7,19,0.57,0.04,2,1.8,1.8,12696,0,0.1,2
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,56,9,11,63.6,8,0.38,0.08,1,0.1,0.1,4237,0,0.4,2
David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,336,29,16,87.5,35,1.65,0.2,2,1.3,1.3,12716,4,2.3,25
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,245,79,26,76.9,6,1.95,0.22,11,6.5,5,332,2,0.7,12
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,24,9,22,77.3,5,0.48,0,0,0.5,0.5,7067,0,0.1,2
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21,485,33,36,50,45,3.38,0.52,2,2.1,2.1,3887,6,2.9,37
Sebastian Andersson,se SWE,FW,Köln,29,1991,12.5,174,57,7,57.1,5,0.96,0.24,3,5.5,4.7,400,0,0.3,5
Robert Andrich,de GER,MF,Union Berlin,25,1994,28.1,332,23,25,72,27,1.96,0.29,5,2.5,2.5,6113,2,2.2,24
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24,705,91,40,45,29,3.83,0.25,4,3.8,3.8,7278,4,5,56
Waldemar Anton,de GER,DF,Stuttgart,24,1996,30.1,100,27,17,58.8,10,0.93,0.17,0,1.2,1.2,13005,1,0.4,7
Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,18.5,191,14,13,76.9,11,1.67,0.05,0,0.7,0.7,5425,0,0.8,15
Santiago Arias,co COL,DF,Leverkusen,28,1992,1,16,2,0,,1,1,0,0,0,0,324,0,0,0
Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,28.7,477,14,17,82.4,40,3.2,0.42,3,2,2,8729,6,4.8,50
Toluwalas Arokodare,ng NGA,FW,Köln,19,2000,1.2,32,13,1,100,1,0.8,0,0,0.4,0.4,39,0,0,1
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,72,12,11,54.5,5,1.54,0.12,1,0.6,0.6,1450,0,0.2,6
Ludwig Augustinsson,se SWE,DF,Werder Bremen,26,1994,21.7,470,35,14,50,19,2.9,0.28,0,0.9,0.9,6861,4,2.8,43
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,227,78,35,54.3,20,2.19,0.4,5,6.9,6.9,524,2,1.5,20
Mehmet-Can Aydin,de GER,DF,Schalke 04,18,2002,5.6,52,5,8,37.5,7,0.72,0,0,0,0,948,0,0.5,3
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,761,116,153,56.9,64,4.12,0.59,9,6.9,6.9,2717,8,6.1,50
Ridle Baku,de GER,DF,Mainz 05,22,1998,2,26,1,2,100,5,0.5,0,0,0,0,708,0,0,0
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,729,89,64,51.6,46,2.86,0.54,6,3.3,3.3,6156,7,4.5,43
Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,3,0,0,,0,0,0,0,0,0,52,0,0,0
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,22,1998,10.9,328,34,41,48.8,24,3.59,0.55,2,1.6,1.6,1951,3,3,25
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,273,53,15,46.7,12,1.21,0.08,2,3.3,3.3,2698,2,2.1,18
Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,12.3,120,6,11,100,7,0.57,0.08,0,0,0,3086,1,1.2,4
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31,0,0,0,,0,0.06,0,0,0,0,15923,0,0,0
Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,138,10,7,100,4,1.93,0.17,2,1.4,1.4,2389,0,0.3,8
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,531,107,82,52.4,55,3,0.42,6,5.5,5.5,3234,3,3,32
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,6,2,4,25,0,2.5,2.5,0,0,0,23,1,0.7,1
Ihlas Bebou,tg TOG,FW,Hoffenheim,26,1994,24.4,562,144,78,65.4,29,2.9,0.57,9,9.1,9.1,1601,7,5,37
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,25,1995,12.3,240,55,21,57.1,23,3.01,0.73,3,2,2,1172,3,3.2,19
Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,168,11,35,51.4,13,0.49,0.16,0,0.2,0.2,4036,0,0.3,3
Brian Behrendt,de GER,DF,Arminia,28,1991,0.9,8,0,1,100,0,2.28,0,0,0,0,310,0,0,0
Maximilian Beier,de GER,FW,Hoffenheim,17,2002,0.1,2,0,0,,1,0,0,0,0,0,4,0,0,0
Ishak Belfodil,dz ALG,FW,Hoffenheim,28,1992,6.6,134,38,29,55.2,8,2.87,0.15,0,1.6,1.6,259,1,1,7
Stefan Bell,de GER,DF,Mainz 05,28,1991,14.1,28,15,0,,0,0.43,0.14,1,0.4,0.4,3044,1,1.3,3
Karim Bellarabi,de GER,"FW,MF",Leverkusen,30,1990,8.9,308,52,40,67.5,26,3.38,0.11,0,2.2,2.2,1320,0,1.8,14
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,436,68,51,60.8,28,2.17,0.37,1,3,3,3230,3,3.3,14
